ts pkg_count pkg_ms core_count core_ms mhz4 mhz60
1789360845.849149534 43272 95358 417 894 1618 800
1789360847.876394302 43272 95358 417 894 1129 800
1789360849.901853599 43272 95358 417 894 900 800
1789360851.930471641 43272 95358 417 894 800 800
1789360853.955829925 43272 95358 417 894 1119 800
1789360855.982919985 43274 95363 417 894 798 800
1789360858.009205446 43274 95363 417 894 1773 3400
1789360860.032420874 43274 95363 417 894 756 3100
1789360862.059111894 43277 95367 417 894 800 800
1789360864.085722142 43279 95372 417 894 800 800
1789360866.113350543 43280 95374 417 894 3194 3400
1789360868.141673423 43280 95374 417 894 1297 3399
1789360870.168880113 43280 95374 417 894 798 3400
1789360872.191182869 43280 95374 417 894 794 800
1789360874.216107195 43280 95374 417 894 765 800
1789360876.242651194 43280 95374 417 894 1200 800
1789360878.268691946 43280 95374 417 894 896 800
1789360880.294673027 43280 95374 417 894 1147 800
1789360882.321102680 43280 95374 417 894 799 800
1789360884.348986480 43280 95374 417 894 799 2100
1789360886.373330223 43280 95374 417 894 3887 800
1789360888.399901264 43280 95374 417 894 790 800
1789360890.426615102 43280 95374 417 894 799 800
1789360892.451516706 43280 95374 417 894 2900 2900
1789360894.469620163 43280 95374 417 894 2970 2900
1789360896.496499006 43280 95374 417 894 1756 2900
1789360898.519290053 43280 95374 417 894 1092 800
1789360900.549254000 43280 95374 417 894 761 800
1789360902.575700512 43280 95374 417 894 881 800
1789360904.603013760 43280 95374 417 894 1782 800
1789360906.629562210 43280 95374 417 894 798 800
1789360908.656171827 43280 95374 417 894 798 800
1789360910.682669711 43280 95374 417 894 2811 800
1789360912.706929801 43280 95374 417 894 796 800
1789360914.732506077 43280 95374 417 894 2900 800
1789360916.763839104 43280 95374 417 894 1063 800
1789360918.789583175 43280 95374 417 894 2900 800
1789360920.808848287 43281 95377 417 894 798 800
1789360922.836739351 43281 95377 417 894 1449 800
1789360924.863961875 43281 95377 417 894 1266 800
1789360926.889755417 43281 95377 417 894 1356 800
1789360928.916669360 43281 95377 417 894 798 800
1789360930.943019627 43281 95377 417 894 846 800
1789360932.970794388 43282 95379 417 894 760 800
1789360934.995978377 43282 95379 417 894 798 800
1789360937.021575304 43282 95379 417 894 1905 800
1789360939.046687476 43282 95379 417 894 1292 800
1789360941.075236736 43282 95379 417 894 2264 800
1789360943.102599373 43282 95379 417 894 1500 800
1789360945.131239747 43282 95379 417 894 799 800
