epoch,n_busy,busy_median_khz,busy_p90_khz,all_median_khz,loadavg
1788877087,21,2900000,3100000,800000,6.31
1788877118,23,2900000,2900000,800000,9.29
1788877148,19,2900000,3100000,800000,11.37
1788877178,19,2900000,3099966,800000,12.75
1788877208,17,2993324,3100000,800000,10.42
1788877238,18,2899969,2900000,800000,12.18
1788877268,16,1721903,2524036,800000,13.15
1788877298,24,2900000,3100032,800000,11.45
1788877328,20,2900000,3090461,800000,14.33
1788877358,22,3079739,3339169,800000,15.32
1788877389,21,2900031,3100000,800000,15.65
1788877419,23,2900030,3100032,800000,17.77
1788877449,22,2900000,2900030,800000,18.69
1788877479,4,2627441,2851111,800000,17.47
1788877509,26,2895323,2907943,1496305,14.11
1788877539,28,2900030,3100000,2895865,13.53
1788877569,25,2900000,3100000,2452492,12.68
1788877599,25,2900000,3099968,2837602,13.61
1788877629,24,2899920,2916108,804333,11.54
1788877659,24,2900000,3099968,881005,13.02
1788877690,10,1500000,3092504,800000,10.13
1788877720,20,2900000,2959924,800000,9.48
1788877750,24,3096919,3371033,800000,9.07
1788877780,21,2897855,2939977,800000,9.75
1788877810,22,3083252,3100000,800000,9.22
1788877840,23,2895676,3097104,800000,8.82
1788877870,25,2900642,3100000,1056907,9.05
1788877900,25,2797923,2900000,1043189,6.84
1788877930,24,2911235,3194178,868362,7.24
1788877961,17,2663847,2900000,800000,6.41
1788877991,21,2900000,3100000,800000,5.99
1788878021,14,3096611,3107914,800000,6.49
1788878051,19,2748328,2900000,800000,7.99
1788878081,9,2736277,3400000,800000,6.45
1788878111,28,2900000,3060989,2867610,6.68
1788878141,24,2900000,3100000,800000,10.33
1788878171,16,3090268,3100000,800000,12.75
1788878201,18,2900000,3100000,800000,12.62
1788878232,22,2900000,2912775,800393,12.53
1788878262,23,2890297,3089993,883165,12.83
1788878292,8,2200000,2912184,800000,12.19
1788878322,24,2900000,3100000,938818,11.44
1788878352,23,2900000,3100000,800000,13.50
1788878382,18,2900000,2900000,800000,13.76
1788878412,25,2900000,3088180,2141279,13.85
1788878442,17,2914544,3086751,800000,14.57
1788878472,24,2900000,3100000,800000,15.31
1788878503,10,2937837,3199082,800000,12.17
1788878533,31,2898120,2900071,2816588,9.59
1788878563,26,2900000,3092317,2440937,8.91
1788878593,26,2900000,2900000,1192111,9.52
1788878623,28,2900000,2947915,2554838,9.44
1788878653,21,2900000,2900000,800000,8.97
1788878683,21,2900000,2900031,800000,8.69
1788878713,21,2900000,3100000,800000,7.11
1788878743,22,2911616,3092643,800000,7.18
1788878773,19,2900000,3100000,800000,7.65
1788878804,22,2898266,3091704,800000,8.03
1788878834,20,2898221,3095458,800000,8.13
1788878864,23,2900000,3098029,800000,7.68
1788878894,4,2500000,2700000,800000,7.09
1788878924,25,2900000,3097944,1051620,7.31
1788878954,27,2883536,3045986,1300000,7.38
1788878984,22,2880725,2922410,800000,6.52
1788879014,26,2775162,3045214,1128817,7.25
1788879044,22,2865539,2900000,800000,6.64
1788879075,19,2895135,3100000,800000,6.92
1788879105,6,1400000,3099968,800000,4.95
1788879135,22,2900000,3028618,800000,6.45
1788879165,25,2900000,3033724,2387903,6.79
1788879195,28,2847413,3100041,2037796,8.07
1788879225,20,2874876,2902340,800000,9.33
1788879255,21,2890981,3100035,800000,9.57
1788879285,25,2870646,3097378,1228501,10.96
1788879315,7,3100000,3400000,800000,8.43
1788879346,25,2916505,3100000,2081506,10.82
1788879376,24,2900000,3100000,800000,12.59
1788879406,19,2900000,3289065,800000,13.96
1788879436,27,2900000,3098677,2705156,13.13
1788879466,21,2900000,3100000,800000,14.35
1788879496,21,2900000,3114325,800000,14.80
1788879526,24,2900000,3095639,800000,10.85
1788879556,21,2899960,3078780,800000,9.52
1788879586,25,2900029,3152452,1583023,9.54
1788879616,30,2900000,3144019,2892095,8.54
1788879647,16,2385135,2900000,800000,7.60
1788879677,30,2953294,3100000,2736990,8.59
1788879707,11,2331343,2985548,800000,7.19
1788879737,21,2900000,3085401,800000,7.22
1788879767,22,2900000,3100000,800000,6.39
1788879797,18,2900000,3100000,800000,6.54
1788879827,20,2900000,3100000,800000,7.65
1788879857,20,2900000,3100000,800000,7.53
1788879887,20,2900000,3084454,800000,7.83
1788879918,23,2888932,2900000,950262,6.63
1788879948,19,2900000,3097947,800000,6.23
1788879978,17,2899970,2928900,800000,6.31
1788880008,22,2899969,3026380,800000,6.90
1788880038,15,2924007,3100000,800000,6.82
1788880068,15,2050155,3100000,800000,6.91
1788880098,4,1716265,3076914,800000,5.77
1788880128,27,3076049,3258580,1912604,6.86
1788880158,21,2900000,3100000,800000,9.31
1788880189,25,2900000,3092164,1298955,11.05
1788880219,28,2899969,3100000,2800326,9.29
1788880249,24,2897253,3099911,800000,9.92
1788880279,20,2900042,3083717,800000,11.19
1788880309,14,1899840,2905239,800000,9.73
1788880339,24,2901174,3092299,988857,7.45
